Date of Sale,Product ID,Product Name,Category,Quantity Sold,Unit Price,Total Sales Value,Cost of Goods Sold (COGS),Gross Profit,Sales Channel,Customer ID,Customer Name,Customer City,Customer State,Customer Country,Payment Method,Discount Applied,Tax Amount,Shipping Cost,Return Status,Sales Representative ID,Sales Representative Name,Region,Quarter,Notes/Comments
2024-07-16,P5242,Lego Set,Toys,9,491.07,4419.63,3391.15,1028.48,Retail,C72468,Norma Fisher,Tammyfort,Montana,Uruguay,PayPal,220.98,441.96,10.09,Not Returned,S873,Elizabeth Woods,North,Q3,Through despite cause cause believe son would mouth.
2024-11-12,P6081,Microwave,Home & Kitchen,2,732.53,1465.06,1112.76,352.3,Wholesale,C53279,Lindsay Thomas,Lake Charlesmouth,New Mexico,Moldova,PayPal,0.0,146.51,7.08,Not Returned,S755,Jeffrey Carr,South,Q4,Whom local tend employee source.
2024-10-09,P9541,Doll,Toys,5,71.66,358.3,274.95,83.35,Online,C22225,Alexis Cortez,Pagetown,South Carolina,Lithuania,Bank Transfer,53.74,35.83,14.21,Not Returned,S740,Felicia Cross,North,Q4,Course nothing draw whose.
2024-11-09,P4996,Board Game,Toys,6,706.61,4239.66,1802.68,2436.98,Wholesale,C39059,Jo Miller,Nancyfort,Connecticut,Gabon,Credit Card,211.98,423.97,16.06,Not Returned,S182,Michelle Kelley,East,Q4,Data son natural explain before something first.
2024-09-17,P5938,Lego Set,Toys,9,298.18,2683.62,1207.43,1476.19,Retail,C80816,Clinton Underwood,New Tinaview,New Mexico,Bangladesh,Credit Card,268.36,268.36,8.9,Not Returned,S494,Peter Mcdowell,East,Q3,Successful together type.
2024-10-21,P4012,Jacket,Clothing,4,823.25,3293.0,1360.63,1932.37,Wholesale,C44086,Jeanne Thornton,Aimeebury,Indiana,Ukraine,PayPal,0.0,329.3,1.8,Not Returned,S997,Samantha Barnes,South,Q4,Late produce you true soldier.
2024-01-20,P9594,Smartwatch,Electronics,5,526.57,2632.85,1301.16,1331.69,Online,C99060,Louis Tucker,Meganbury,Alaska,Saint Martin,Bank Transfer,394.93,263.29,11.59,Not Returned,S776,Michael Watson,East,Q1,Forward staff beyond chair.
2024-02-12,P8969,Blender,Home & Kitchen,10,633.85,6338.5,4678.01,1660.49,Online,C12124,Amber Berry,North Davidborough,Rhode Island,Switzerland,Bank Transfer,633.85,633.85,2.34,Not Returned,S913,Jeanne Wood,South,Q1,Already against which continue.
2024-06-19,P2648,Lego Set,Toys,3,856.77,2570.31,1253.05,1317.26,Wholesale,C93126,Daniel Owen,New Ronaldville,Kentucky,Bangladesh,Bank Transfer,0.0,257.03,0.53,Not Returned,S720,Matthew Bell,North,Q2,Article level others record.
2024-07-19,P2901,Headphones,Electronics,1,609.45,609.45,291.22,318.23,Online,C26239,David Strong,Masseyshire,Hawaii,Qatar,PayPal,30.47,60.95,14.54,Not Returned,S795,Tracy Brown,North,Q3,Suddenly garden economy others.
2024-10-05,P5258,Lego Set,Toys,2,228.62,457.24,301.22,156.02,Retail,C67156,Christopher Ruiz,Mcculloughhaven,Maryland,Pakistan,Credit Card,0.0,45.72,10.07,Returned,S203,Ryan King,West,Q4,Real leader bad school name care several.
2024-04-12,P8704,Vacuum Cleaner,Home & Kitchen,10,177.73,1777.3,1189.11,588.19,Online,C98631,Mr. Michael Garza,Lake Kyle,West Virginia,Israel,Credit Card,88.87,177.73,6.85,Not Returned,S711,Angela Wheeler,West,Q2,Civil development large report purpose themselves.
2024-12-06,P8727,T-Shirt,Clothing,7,901.1,6307.7,4730.28,1577.42,Retail,C95057,Shane Bradley,East Seanview,Vermont,Cayman Islands,PayPal,946.15,630.77,16.75,Not Returned,S674,Stephen Odonnell,North,Q4,Sense this manager fine level speak themselves speech.
2024-08-22,P1748,Headphones,Electronics,9,288.07,2592.63,1286.08,1306.55,Retail,C56166,Zachary Schultz,Port Jessicatown,Montana,Zambia,Bank Transfer,259.26,259.26,13.47,Not Returned,S748,Emily Lewis,South,Q3,Woman put partner.
2024-06-07,P2322,Doll,Toys,1,598.63,598.63,406.73,191.9,Online,C41380,Lee Gonzalez,Joshuaburgh,Connecticut,Lebanon,Credit Card,89.79,59.86,7.57,Not Returned,S681,Jennifer Miller,West,Q2,Trial son break either president.
2024-01-17,P1766,Doll,Toys,3,450.9,1352.7,681.34,671.36,Online,C68505,Maria Wilson,West Melissa,Arizona,Armenia,Bank Transfer,202.91,135.27,18.16,Not Returned,S100,David Edwards,North,Q1,Voice travel among see red pretty.
2024-09-10,P8649,Vacuum Cleaner,Home & Kitchen,1,810.96,810.96,608.23,202.73,Retail,C34641,Stephanie Bowman,Monicaburgh,Indiana,Honduras,Bank Transfer,0.0,81.1,16.75,Not Returned,S115,Alexa Hernandez,West,Q3,Front happen behavior single along especially.
2024-12-13,P1055,Board Game,Toys,4,24.15,96.6,67.8,28.8,Wholesale,C79251,Kevin Ward,West Danny,Washington,Dominican Republic,Bank Transfer,0.0,9.66,3.81,Not Returned,S303,Elizabeth Vincent,East,Q4,Few structure federal board.
